event_id,user_id,event_type,event_time
1,1,logout,2025-12-01
2,1,feature_use,2025-12-25
3,1,feature_use,2025-10-17
4,1,feature_use,2025-11-26
5,1,login,2025-10-27
6,1,feature_use,2025-10-19
7,1,login,2025-11-27
8,1,feature_use,2025-12-21
9,1,feature_use,2025-11-15
10,2,feature_use,2025-12-25
11,2,feature_use,2025-11-19
12,2,feature_use,2025-12-30
13,2,login,2025-11-30
14,2,feature_use,2025-11-20
15,2,login,2025-12-14
16,2,feature_use,2025-11-22
17,2,login,2025-12-26
18,2,login,2025-12-03
19,2,feature_use,2025-12-18
20,2,login,2025-11-20
21,2,logout,2025-11-20
22,2,feature_use,2025-12-14
23,2,logout,2025-11-20
24,2,login,2025-11-19
25,2,login,2025-12-05
26,2,feature_use,2025-12-06
27,2,login,2025-12-01
28,2,feature_use,2025-12-07
29,2,feature_use,2025-12-15
30,2,feature_use,2025-12-04
31,2,login,2025-12-07
32,3,login,2025-09-15
33,3,feature_use,2025-12-02
34,3,login,2025-11-05
35,3,login,2025-11-04
36,3,login,2025-12-15
37,3,feature_use,2025-11-19
38,3,login,2025-12-25
39,3,logout,2025-09-08
40,3,login,2025-12-10
41,3,logout,2025-08-17
42,3,logout,2025-09-13
43,3,login,2025-11-24
44,3,logout,2025-11-23
45,4,logout,2025-11-23
46,4,login,2025-12-27
47,4,login,2025-12-27
48,4,feature_use,2025-12-07
49,4,login,2025-11-27
50,4,login,2025-12-11
51,4,logout,2025-12-21
52,4,logout,2025-11-26
53,4,feature_use,2025-12-07
54,4,feature_use,2025-12-10
55,4,logout,2025-11-25
56,4,login,2025-12-03
57,4,logout,2025-12-12
58,4,login,2025-12-23
59,4,logout,2025-12-25
60,4,feature_use,2025-12-14
61,4,logout,2025-11-28
62,4,logout,2025-12-30
63,4,logout,2025-11-24
64,4,feature_use,2025-11-25
65,5,login,2025-11-02
66,5,logout,2025-12-17
67,5,login,2025-10-11
68,5,feature_use,2025-12-24
69,5,feature_use,2025-12-23
70,5,login,2025-10-07
71,5,feature_use,2025-12-11
72,5,feature_use,2025-10-25
73,6,logout,2025-10-06
74,6,login,2025-09-10
75,6,login,2025-12-20
76,6,feature_use,2025-11-10
77,6,login,2025-07-21
78,6,feature_use,2025-11-09
79,6,login,2025-08-12
80,7,login,2025-10-01
81,7,logout,2025-10-05
82,7,logout,2025-11-08
83,7,feature_use,2025-11-11
84,7,feature_use,2025-12-23
85,7,login,2025-11-10
86,7,feature_use,2025-09-28
87,7,feature_use,2025-11-24
88,7,login,2025-12-14
89,7,login,2025-11-23
90,7,login,2025-10-10
91,7,login,2025-12-11
92,7,feature_use,2025-10-05
93,7,logout,2025-11-20
94,7,feature_use,2025-11-25
95,7,feature_use,2025-09-27
96,7,feature_use,2025-12-12
97,7,login,2025-10-31
98,7,feature_use,2025-12-21
99,7,login,2025-12-20
100,7,login,2025-10-29
101,7,feature_use,2025-10-04
102,7,login,2025-10-05
103,8,login,2025-07-23
104,9,logout,2025-12-16
105,9,login,2025-10-23
106,9,login,2025-12-19
107,9,feature_use,2025-12-25
108,10,login,2025-12-18
109,10,feature_use,2025-11-06
110,10,login,2025-12-09
111,10,feature_use,2025-09-08
112,10,login,2025-11-12
113,10,logout,2025-10-14
114,10,feature_use,2025-11-06
115,10,feature_use,2025-09-24
116,10,feature_use,2025-12-29
117,10,logout,2025-10-17
118,10,login,2025-10-23
119,11,login,2025-11-14
120,11,login,2025-08-09
121,11,login,2025-10-21
122,11,logout,2025-12-27
123,11,login,2025-12-22
124,11,feature_use,2025-09-04
125,11,feature_use,2025-08-25
126,11,login,2025-12-26
127,11,login,2025-12-18
128,11,login,2025-11-08
129,11,feature_use,2025-08-18
130,11,login,2025-07-13
131,11,login,2025-11-06
132,11,login,2025-12-19
133,11,login,2025-08-27
134,11,login,2025-12-26
135,11,login,2025-12-06
136,11,login,2025-10-10
137,11,feature_use,2025-10-25
138,11,login,2025-07-18
139,11,feature_use,2025-09-01
140,11,feature_use,2025-11-14
141,11,logout,2025-09-13
142,11,login,2025-10-16
143,11,login,2025-07-12
144,11,logout,2025-12-08
145,11,logout,2025-10-30
146,11,login,2025-12-09
147,11,login,2025-10-15
148,12,feature_use,2025-11-11
149,12,login,2025-11-20
150,12,logout,2025-10-21
151,12,feature_use,2025-12-23
152,12,login,2025-12-10
153,12,login,2025-10-27
154,12,logout,2025-11-02
155,12,login,2025-11-16
156,12,logout,2025-12-26
157,13,logout,2025-10-13
158,13,login,2025-12-23
159,13,login,2025-09-06
160,13,logout,2025-10-10
161,13,feature_use,2025-11-11
162,13,feature_use,2025-12-18
163,13,logout,2025-11-12
